token_index,token_id,probability,logprob,nll,reference_probability,reference_logprob,reference_nll,nll_drift
292,96323,0.99999960480363381,-3.9519644430571029e-07,3.9519644430571029e-07,0.99999944950108222,-5.5049906935027107e-07,5.5049906935027107e-07,-1.5530262504456078e-07
293,17439,0.99998633652767166,-1.3663565674395976e-05,1.3663565674395976e-05,0.99999165194346029,-8.3480913848835001e-06,8.3480913848835001e-06,5.3154742895124757e-06
294,24082,0.99914950900972876,-0.00085085286292763834,0.00085085286292763834,0.99994995412442556,-5.004712791103718e-05,5.004712791103718e-05,0.00080080573501660111
295,664,0.99998934034176989,-1.0659715044691427e-05,1.0659715044691427e-05,0.99999944780542238,-5.521947300264966e-07,5.521947300264966e-07,1.0107520314664929e-05
296,647,0.99999969645758435,-3.035424617267222e-07,3.035424617267222e-07,0.99999998780499666,-1.2195003377150425e-08,1.2195003377150425e-08,2.9134745834957178e-07
297,320,0.98440924467106217,-0.015713569335966345,0.015713569335966345,0.99239422430629487,-0.0076348471065630667,0.0076348471065630667,0.0080787222294032776
298,64,0.99991697340223862,-8.3030044660089669e-05,8.3030044660089669e-05,0.99995270528176328,-4.7295836667120283e-05,4.7295836667120283e-05,3.5734207992969385e-05
299,14458,0.99999872920556587,-1.2707952415970502e-06,1.2707952415970502e-06,0.99999931560587052,-6.8439436368506654e-07,6.8439436368506654e-07,5.8640087791198366e-07
300,304,0.99999985003795777,-1.4996205352172005e-07,1.4996205352172005e-07,0.99999991630825613,-8.3691747360714342e-08,8.3691747360714342e-08,6.6270306161005712e-08
301,6617,0.99997079617716422,-2.9204249275742429e-05,2.9204249275742429e-05,0.99999521713626538,-4.7828751725780192e-06,4.7828751725780192e-06,2.442137410316441e-05
302,11477,0.99993520939022817,-6.4792708774028955e-05,6.4792708774028955e-05,0.99981561851911926,-0.00018439848123575546,0.00018439848123575546,-0.00011960577246172651
303,57664,0.99999817899015409,-1.8210115039975197e-06,1.8210115039975197e-06,0.99999843848598247,-1.561515236751293e-06,1.561515236751293e-06,2.5949626724622668e-07
304,8,0.99998283692974732,-1.7163217539848695e-05,1.7163217539848695e-05,0.99999355959641867,-6.4404243207966492e-06,6.4404243207966492e-06,1.0722793219052047e-05
305,323,0.99999629880708196,-3.701199767520068e-06,3.701199767520068e-06,0.99999831827680175,-1.6817246123371632e-06,1.6817246123371632e-06,2.0194751551829046e-06
306,28379,0.99995485567733056,-4.5145341705079002e-05,4.5145341705079002e-05,0.99995334487230303,-4.665621608131008e-05,4.665621608131008e-05,-1.5108743762310778e-06
