token_index,token_id,probability,logprob,nll,reference_probability,reference_logprob,reference_nll,nll_drift
271,466,0.9999987445873777,-1.2554134103438588e-06,1.2554134103438588e-06,0.99999968258446037,-3.1741559006207834e-07,3.1741559006207834e-07,9.3799782028178043e-07
272,59335,0.85682119216612151,-0.15452602606703708,0.15452602606703708,0.99980119699117598,-0.00019882277276164523,0.00019882277276164523,0.15432720329427543
273,304,0.99614936578929802,-0.0038580669893574326,0.0038580669893574326,0.99999326230215002,-6.7377205483972893e-06,6.7377205483972893e-06,0.0038513292688090355
274,1403,0.99504713264239408,-0.0049651734555997964,0.0049651734555997964,0.99999442558965446,-5.5744258826569622e-06,5.5744258826569622e-06,0.0049595990297171396
275,12631,0.99976846490226445,-0.00023156190612441186,0.00023156190612441186,0.99999420784438253,-5.7921723920793924e-06,5.7921723920793924e-06,0.00022576973373233247
276,304,0.99959813306050027,-0.00040194770965822221,0.00040194770965822221,0.99999907728093385,-9.2271949187854136e-07,9.2271949187854136e-07,0.00040102499016634365
277,220,0.99993628085437258,-6.3721175778420406e-05,6.3721175778420406e-05,0.99999588729357392,-4.1127148833312309e-06,4.1127148833312309e-06,5.9608460895089173e-05
278,1049,0.99988650888086961,-0.00011349755973472323,0.00011349755973472323,0.99999921060646246,-7.8939384913370822e-07,7.8939384913370822e-07,0.00011270816588558952
279,23,0.99996017143030569,-3.9829362872846945e-05,3.9829362872846945e-05,0.99999903531119982,-9.6468926545185054e-07,9.6468926545185054e-07,3.8864673607395096e-05
280,11,0.9405289062674268,-0.061312895713440223,0.061312895713440223,0.99989580799985611,-0.00010419742850738675,0.00010419742850738675,0.061208698284932833
281,6187,0.99965388995190074,-0.00034616995800595528,0.00034616995800595528,0.99998825649111367,-1.1743577841821326e-05,1.1743577841821326e-05,0.00033442638016413398
282,4238,0.99999606157622456,-3.9384315310675919e-06,3.9384315310675919e-06,0.99999971734836768,-2.8265167231184321e-07,2.8265167231184321e-07,3.6557798587557488e-06
283,4997,0.99991371720210087,-8.6286520473905192e-05,8.6286520473905192e-05,0.99998897848977797,-1.102157095934713e-05,1.102157095934713e-05,7.5264949514558061e-05
284,31304,0.99999841926956612,-1.5807316831920262e-06,1.5807316831920262e-06,0.99999977156406228,-2.2843596381035721e-07,2.2843596381035721e-07,1.352295719381669e-06
285,555,0.98005697530374669,-0.020144570942423563,0.020144570942423563,0.99984489606767835,-0.00015511596218050703,0.00015511596218050703,0.019989454980243057
286,57337,0.99411196511701816,-0.005905437706284958,0.005905437706284958,0.99993025285433668,-6.9749578108566334e-05,6.9749578108566334e-05,0.0058356881281763917
287,12366,0.99972732293263877,-0.00027271425051227804,0.00027271425051227804,0.99998651309243169,-1.3486998517494297e-05,1.3486998517494297e-05,0.00025922725199478377
288,2009,0.99984625527714266,-0.00015375654278880642,0.00015375654278880642,0.99999310166877264,-6.8983550209180302e-06,6.8983550209180302e-06,0.00014685818776788841
289,546,0.9999940456954638,-5.9543222631653687e-06,5.9543222631653687e-06,0.99999780137931449,-2.1986231024493029e-06,2.1986231024493029e-06,3.7556991607160658e-06
290,72,0.99998818633007514,-1.1813739706838352e-05,1.1813739706838352e-05,0.9999998845495397,-1.1545046696119471e-07,1.1545046696119471e-07,1.1698289239877158e-05
291,11,0.97595862702109448,-0.024335083814780001,0.024335083814780001,0.99965044360256272,-0.00034961750651588228,0.00034961750651588228,0.02398546630826412
292,323,0.99991753869538114,-8.2464704739186552e-05,8.2464704739186552e-05,0.99999938497835361,-6.1502183551550832e-07,6.1502183551550832e-07,8.1849682903671039e-05
293,4418,0.99981823006260306,-0.00018178645955423936,0.00018178645955423936,0.99999696055747067,-3.0394471484816191e-06,3.0394471484816191e-06,0.00017874701240575775
294,798,0.99999925576026427,-7.4424001267183603e-07,7.4424001267183603e-07,0.99999982915767982,-1.7084233478492247e-07,1.7084233478492247e-07,5.7339767788691362e-07
295,54275,0.99997967279731237,-2.0327409288029487e-05,2.0327409288029487e-05,0.99999742475901277,-2.5752443032076084e-06,2.5752443032076084e-06,1.7752164984821878e-05
296,15910,0.99788539048350144,-0.0021168484600865862,0.0021168484600865862,0.9999667363732897,-3.3264179956996582e-05,3.3264179956996582e-05,0.0020835842801295895
297,555,0.99998045928794299,-1.9540902979208234e-05,1.9540902979208234e-05,0.999998661683141,-1.3383177545760764e-06,1.3383177545760764e-06,1.8202585224632158e-05
298,12225,0.99989384277309512,-0.00010616286198209138,0.00010616286198209138,0.99999388847815018,-6.1115405252147578e-06,6.1115405252147578e-06,0.00010005132145687663
299,398,0.99999973519795726,-2.6480207784362153e-07,2.6480207784362153e-07,0.9999999904184268,-9.5815732666415602e-09,9.5815732666415602e-09,2.5522050457697995e-07
