token_index,token_id,probability,logprob,nll,reference_probability,reference_logprob,reference_nll,nll_drift
183,81764,0.99999784404055647,-2.1559617676118056e-06,2.1559617676118056e-06,0.99999879455979745,-1.2054409290608909e-06,1.2054409290608909e-06,9.5052083855091472e-07
184,11,0.99944442137327782,-0.00055573301771424076,0.00055573301771424076,0.99944288993429553,-0.00055726530917831699,0.00055726530917831699,-1.5322914640762339e-06
185,323,0.99999901106762834,-9.8893286066062318e-07,9.8893286066062318e-07,0.99999953059387281,-4.6940623739852019e-07,4.6940623739852019e-07,5.1952662326210299e-07
186,68134,0.99999157932985494,-8.4207055990978766e-06,8.4207055990978766e-06,0.99999327372543301,-6.726297188436597e-06,6.726297188436597e-06,1.6944084106612795e-06
187,11166,0.99999563043747108,-4.3695720754939262e-06,4.3695720754939262e-06,0.99999621914745818,-3.7808596892632937e-06,3.7808596892632937e-06,5.8871238623063247e-07
188,382,0.8364117772123536,-0.17863423068944972,0.17863423068944972,0.90652701830852245,-0.098134444147530295,0.098134444147530295,0.08049978654191943
189,644,0.9424854075609076,-0.059234842473826585,0.059234842473826585,0.97538726141723087,-0.024920695646672705,0.024920695646672705,0.034314146827153877
190,220,0.99990872189751367,-9.128226858589243e-05,9.128226858589243e-05,0.99994004627446598,-5.9955522830420787e-05,5.9955522830420787e-05,3.1326745755471643e-05
191,1049,0.99996247429464724,-3.7526409459668069e-05,3.7526409459668069e-05,0.99997552397798883,-2.4476321553896724e-05,2.4476321553896724e-05,1.3050087905771345e-05
192,21,0.9999242127687894,-7.5790103207887811e-05,7.5790103207887811e-05,0.99994050204551033,-5.9499724563184849e-05,5.9499724563184849e-05,1.6290378644702962e-05
193,11,0.99999863732892702,-1.3626720013898106e-06,1.3626720013898106e-06,0.99999871199952794,-1.2880013014762286e-06,1.2880013014762286e-06,7.4670699913582011e-08
194,426,0.99999886925823755,-1.1307424016885025e-06,1.1307424016885025e-06,0.9999992897092187,-7.1029103353140907e-07,7.1029103353140907e-07,4.204513681570934e-07
195,11206,0.99999833421635342,-1.6657850340468699e-06,1.6657850340468699e-06,0.9999991912492775,-8.0875104949613672e-07,8.0875104949613672e-07,8.5703398455073314e-07
196,466,0.99999989906222075,-1.0093778436585771e-07,1.0093778436585771e-07,0.99999981697331242,-1.8302670436286778e-07,1.8302670436286778e-07,-8.2088919997010069e-08
197,59335,0.99977765508136518,-0.00022236964093086032,0.00022236964093086032,0.99978944014928517,-0.00021058202155243208,0.00021058202155243208,1.178761937842824e-05
198,16662,0.99510077700798161,-0.0049112635272569325,0.0049112635272569325,0.99569798141943489,-0.0043112988880996961,0.0043112988880996961,0.00059996463915723639
199,1254,0.99998319877587638,-1.6801365265752775e-05,1.6801365265752775e-05,0.99998699536715274,-1.3004717408269554e-05,1.3004717408269554e-05,3.7966478574832201e-06
200,819,0.99999948945032813,-5.1054980222248914e-07,5.1054980222248914e-07,0.99999947028294456,-5.2971719569509376e-07,5.2971719569509376e-07,-1.9167393472604625e-08
201,675,0.99999995962706067,-4.0372940175364772e-08,4.0372940175364772e-08,0.99999996526989932,-3.4730101302376908e-08,3.4730101302376908e-08,5.6428388729878641e-09
202,304,0.99999528966802442,-4.7103430692567449e-06,4.7103430692567449e-06,0.99999603033968265,-3.9696681964892569e-06,3.9696681964892569e-06,7.4067487276748794e-07
203,279,0.99999867981042689,-1.3201904445936498e-06,1.3201904445936498e-06,0.99999884533824723,-1.154662419410828e-06,1.154662419410828e-06,1.6552802518282175e-07
204,1514,0.99998967119694049,-1.0328856402017966e-05,1.0328856402017966e-05,0.99999124141158857,-8.7586267680692975e-06,8.7586267680692975e-06,1.5702296339486685e-06
205,94836,0.99997971831389987,-2.028189177634665e-05,2.028189177634665e-05,0.99997806563258995,-2.1934607971802832e-05,2.1934607971802832e-05,-1.6527161954561821e-06
206,5439,0.99988046296175914,-0.00011954418336198709,0.00011954418336198709,0.99988618545067076,-0.00011382102669652376,0.00011382102669652376,5.7231566654633299e-06
207,555,0.99999813256023573,-1.8674415079208498e-06,1.8674415079208498e-06,0.99999830181510829,-1.6981863335925556e-06,1.6981863335925556e-06,1.6925517432829413e-07
208,4488,0.9999909044616786,-9.0955796860925968e-06,9.0955796860925968e-06,0.9999933385626717,-6.6614595157920744e-06,6.6614595157920744e-06,2.4341201703005224e-06
209,46207,0.99999838890370862,-1.6110975891482265e-06,1.6110975891482265e-06,0.99999885242018882,-1.1475804696540225e-06,1.1475804696540225e-06,4.6351711949420396e-07
210,28607,0.9999829100007851,-1.7090145250571323e-05,1.7090145250571323e-05,0.99997118377104177,-2.8816644153721747e-05,2.8816644153721747e-05,-1.1726498903150423e-05
211,13,0.99997064630013388,-2.9354130694370833e-05,2.9354130694370833e-05,0.99997389804035519,-2.6102300306907385e-05,2.6102300306907385e-05,3.2518303874634483e-06
212,1283,0.99992204695259346,-7.7956085903255643e-05,7.7956085903255643e-05,0.99992750992291735,-7.2492704615218301e-05,7.2492704615218301e-05,5.4633812880373423e-06
213,9922,0.99994796442774336,-5.2036926154038709e-05,5.2036926154038709e-05,0.99995618730511604,-4.3813654688112454e-05,4.3813654688112454e-05,8.2232714659262549e-06
214,389,0.99943874490570872,-0.00056141265688972942,0.00056141265688972942,0.99955063716411174,-0.00044946382962374653,0.00044946382962374653,0.00011194882726598288
215,264,0.99998082653472964,-1.9173649083593119e-05,1.9173649083593119e-05,0.99998379499391976,-1.6205137382782828e-05,1.6205137382782828e-05,2.9685117008102905e-06
216,220,0.99998784281620767,-1.2157257691454813e-05,1.2157257691454813e-05,0.99998814744739628,-1.1852622845731677e-05,1.1852622845731677e-05,3.0463484572313627e-07
217,1049,0.9999993260942851,-6.7390594201613849e-07,6.7390594201613849e-07,0.9999995749094126,-4.2509067779029018e-07,4.2509067779029018e-07,2.4881526422584831e-07
218,21,0.99999894819010648,-1.0518104466997187e-06,1.0518104466997187e-06,0.99999899236306,-1.0076374476302303e-06,1.0076374476302303e-06,4.417299906948839e-08
219,9417,0.9999880395418701,-1.1960529656715553e-05,1.1960529656715553e-05,0.99998899410329178,-1.1005957273551254e-05,1.1005957273551254e-05,9.5457238316429942e-07
220,315,0.99999827208282721,-1.7279186656595467e-06,1.7279186656595467e-06,0.99999833271668137,-1.6672847085968181e-06,1.6672847085968181e-06,6.0633957062728654e-08
