variant,exact_match,first_divergence_char,common_prefix_chars,baseline_chars,variant_chars,similarity_ratio,divergence_score
sliding,1,None,2273,2273,2273,1.000000,0.000000
age,0,353,353,2273,2241,0.758972,0.241028
